node_id,longitude,latitude
196,104.0810894,30.6581845
197,104.0832528,30.6570327
198,104.0999214,30.6643739
199,104.0998064,30.664378600000003
200,104.0996864,30.665124100000003
201,104.0960572,30.6562401
202,104.09592940000002,30.6562993
203,104.0969786,30.6578005
204,104.0924984,30.6788003
205,104.0928919,30.6791554
206,104.0939678,30.677614
207,104.0941335,30.6810953
208,104.0924023,30.6795374
209,104.0920355,30.6791077
210,104.0886469,30.681042200000004
211,104.0939712,30.6811826
212,104.0923794,30.6793894
213,104.11168,30.6630104
214,104.1120242,30.6630249
215,104.112273,30.6596425
216,104.1101257,30.662437800000003
217,104.0681535,30.657645
218,104.0678698,30.6570033
219,104.0659297,30.6579881
220,104.0670096,30.6596124
221,104.068454,30.6583251
222,104.058165,30.6587697
223,104.0584223,30.658742
