agent_id,seq,sub_seq,time,loc_type,link_id,from_node,to_node,lng,lat,prj_lng,prj_lat,dis_to_next,match_heading,route_dis
3,7,0,2018-10-09 07:35:55.000000000,s,4499,331,290,104.06175,30.66688999999999,104.06312264481453,30.66691433012291,191.6801686443188,179.3,90.43112435694783
3,8,0,2018-10-09 07:36:28.000000000,s,4499,331,290,104.06241,30.66518,104.06315248564617,30.665185065720788,101.03520748293937,179.3,282.11129300126663
3,9,0,2018-10-09 07:36:55.000000000,s,2720,290,1214,104.06245,30.66448,104.06291930913301,30.66431373993378,0.0,202.76,59.77555360997025
3,10,0,2018-10-09 07:37:22.000000000,s,2720,290,1214,104.06245,30.66448,104.06291930913301,30.66431373993378,3.0765867948163645,202.76,59.77555360997025
3,11,0,2018-10-09 07:37:52.000000000,s,2720,290,1214,104.06245,30.664450000000002,104.06290713210655,30.66428805380972,92.9478595952134,202.76,62.85214040478662
3,11,1,2018-10-09 07:38:05.500000000,c,1468,1214,1215,104.06245,30.664434999999997,104.06299384998944,30.66396400029064,,,26.333212371399362
3,12,0,2018-10-09 07:38:19.000000000,s,4821,1215,1212,104.06245,30.664419999999993,104.0632687,30.663964899999993,181.65262944657033,87.99,0.0
3,12,1,2018-10-09 07:38:34.000000000,c,2404,1212,288,104.062655,30.664754999999996,104.06355649513326,30.664433708494336,,,48.68101190108503
3,13,0,2018-10-09 07:38:49.000000000,s,231,288,289,104.06286,30.66509,104.06330476689706,30.665101950010584,800.703306678707,358.7,31.252629446570324
3,13,1,2018-10-09 07:39:04.000000000,c,2403,289,427,104.064015,30.66523,104.0647302944937,30.66775451068555,,,144.61199491500818
3,14,0,2018-10-09 07:39:19.000000000,s,2398,427,426,104.06517,30.66537,104.06629650000002,30.66580529999999,274.96110489055326,179.05,219.9559361252774
3,14,1,2018-10-09 07:39:34.000000000,c,359,426,423,104.06541,30.664334999999998,104.06630303013476,30.66514639988448,,,73.0287969220843
3,15,0,2018-10-09 07:39:49.000000000,s,667,423,420,104.06565,30.663299999999996,104.06636355493552,30.663325257678146,264.81838114901194,177.74,128.91704101583065
3,16,0,2018-10-09 07:40:19.000000000,s,353,420,422,104.06469,30.66078,104.0664485,30.6609371,1000.0,179.5,161.89749512951295
3,16,1,2018-10-09 07:40:21.500000000,c,352,420,419,104.06465,30.6606175,104.06735344956421,30.662432453436395,,,90.71480495740589
3,16,2,2018-10-09 07:40:24.000000000,c,351,419,421,104.06461,30.660455,104.06834775045115,30.66171955005914,,,83.02479879253308
3,16,3,2018-10-09 07:40:26.500000000,c,1401,421,36,104.06457,30.6602925,104.06840095000531,30.66088605000073,,,9.49290411258331
3,16,4,2018-10-09 07:40:29.000000000,c,31,36,38,104.06453,30.660130000000002,104.06844083733056,30.65985513758399,,,104.828831659462
3,16,5,2018-10-09 07:40:31.500000000,c,180,38,221,104.06449,30.6599675,104.0684686130068,30.65861728693719,,,32.41337949928183
3,16,6,2018-10-09 07:40:34.000000000,c,4223,221,2319,104.06445,30.659805000000002,104.06842834998349,30.658260600002496,,,7.559210789063059
3,16,7,2018-10-09 07:40:36.500000000,c,4221,2319,217,104.06441,30.659642500000004,104.06827809965557,30.657920550058265,,,32.789837054069146
3,16,8,2018-10-09 07:40:39.000000000,c,177,217,219,104.06437,30.659480000000002,104.06716452884059,30.658047709873237,,,118.54717661783143
3,16,9,2018-10-09 07:40:41.500000000,c,4825,219,2451,104.06433,30.659317500000004,104.06576249998328,30.657980100107288,,,16.044710697465554
3,16,10,2018-10-09 07:40:44.000000000,c,4831,2451,2452,104.06429,30.659155000000005,104.06514144986144,30.65794710079019,,,43.573639184904735
3,16,11,2018-10-09 07:40:46.500000000,c,4840,2452,2321,104.06425,30.658992500000004,104.06415589984911,30.65790000108532,,,51.0035053942568
3,17,0,2018-10-09 07:40:49.000000000,s,4974,2321,2452,104.06421,30.658830000000005,104.06426147583015,30.65790438928599,0.0,87.72,61.13091712027221
3,18,0,2018-10-09 07:41:19.000000000,s,4974,2321,2452,104.06421,30.658830000000005,104.06426147583015,30.65790438928599,40.87609366824139,87.72,61.13091712027221
3,19,0,2018-10-09 07:41:46.000000000,s,4842,2452,2322,104.06422,30.658459999999998,104.0646876,30.6579221,167.3,177.61,0.0
3,19,1,2018-10-09 07:42:01.000000000,c,4837,2322,2364,104.06426,30.657540000000004,104.06512660002508,30.657079850588488,,,37.461908942334546
3,20,0,2018-10-09 07:42:16.000000000,s,4836,2364,2451,104.0643,30.656620000000007,104.0655174,30.657069600000007,200.60473759895,4.74,0.0
3,21,0,2018-10-09 07:42:46.000000000,s,4833,2451,2364,104.06655,30.656390000000002,104.0655174,30.657069600000007,44.50474282257963,184.74,100.302368799475
3,22,0,2018-10-09 07:43:16.000000000,s,4834,2364,2363,104.06742,30.656549999999992,104.0659817,30.657058300000003,47.23456069452581,92.09,44.50474282257963
3,23,0,2018-10-09 07:43:46.000000000,s,4433,2363,2318,104.06747,30.657060000000012,104.0664746,30.657050899999998,90.19499125993129,91.47,47.23456069452581
3,24,0,2018-10-09 07:44:16.000000000,s,4828,2318,218,104.06746,30.658,104.067415208579,30.657018810934918,240.7050087400687,92.74,90.19499125993129
3,24,1,2018-10-09 07:44:22.000000000,c,4219,218,447,104.067962,30.658074000000003,104.06795325002695,30.656971250027446,,,8.749305171578031
3,24,2,2018-10-09 07:44:28.000000000,c,2715,447,1847,104.06846399999999,30.658148000000004,104.068322698288,30.657534650305728,,,71.45706170884102
3,24,3,2018-10-09 07:44:34.000000000,c,2922,1847,445,104.068966,30.658222000000002,104.06863744998181,30.6581932000031,,,7.516352584924778
3,24,4,2018-10-09 07:44:40.000000000,c,2924,445,221,104.069468,30.658296000000004,104.06856010003656,30.65829070004416,,,10.8572938129592
3,25,0,2018-10-09 07:44:46.000000000,s,4223,221,2319,104.06997,30.658370000000005,104.068454,30.6583251,51.2,199.45,0.0
3,25,1,2018-10-09 07:44:56.000000000,c,4222,2319,1847,104.06981333333333,30.658430000000006,104.06850570003404,30.658163100041627,,,10.524791287313997
3,25,2,2018-10-09 07:45:06.000000000,c,2922,1847,445,104.06965666666667,30.658490000000004,104.06863744998181,30.6581932000031,,,7.516352584924778
3,26,0,2018-10-09 07:45:16.000000000,s,2924,445,221,104.0695,30.658550000000005,104.06866620000001,30.658256299999994,57.84958257462799,291.03,0.0
3,26,1,2018-10-09 07:45:31.000000000,c,4223,221,2319,104.069235,30.658535000000004,104.06842834998349,30.658260600002496,,,7.559210789063059
3,27,0,2018-10-09 07:45:46.000000000,s,4222,2319,1847,104.06897000000001,30.658520000000003,104.0686087,30.658130100000005,172.23364811609179,110.81,21.049582574627994
3,27,1,2018-10-09 07:45:56.000000000,c,2922,1847,445,104.06916333333334,30.65903,104.06863744998181,30.6581932000031,,,7.516352584924778
3,27,2,2018-10-09 07:46:06.000000000,c,2925,445,444,104.06935666666668,30.659540000000003,104.06866763569883,30.65868139434899,,,47.11347391004374
3,28,0,2018-10-09 07:46:16.000000000,s,4844,444,442,104.06955,30.660050000000002,104.0693184,30.6591275,103.4992867720289,88.35,62.983230690719765
3,29,0,2018-10-09 07:46:46.000000000,s,380,442,20,104.07076,30.65979000000001,104.0699342,30.658479199999995,0.0,209.96,0.0
3,30,0,2018-10-09 07:47:13.000000000,s,380,442,20,104.07081,30.65918999999999,104.0699342,30.658479199999995,0.0,209.96,0.0
3,31,0,2018-10-09 07:47:43.000000000,s,380,442,20,104.07085,30.6591,104.0699342,30.658479199999995,77.75495982541025,209.96,0.0
3,32,0,2018-10-09 07:48:13.000000000,s,382,20,445,104.07093,30.658180000000005,104.069545,30.6578636,472.1788410561702,297.81,0.0
3,32,1,2018-10-09 07:48:18.000000000,c,2924,445,221,104.07092666666667,30.657750000000004,104.06856010003656,30.65829070004416,,,10.8572938129592
3,32,2,2018-10-09 07:48:23.000000000,c,4223,221,2319,104.07092333333334,30.657320000000002,104.06842834998349,30.658260600002496,,,7.559210789063059
3,32,3,2018-10-09 07:48:28.000000000,c,4221,2319,217,104.07092,30.656890000000004,104.06827809965557,30.657920550058265,,,32.789837054069146
3,32,4,2018-10-09 07:48:33.000000000,c,176,217,218,104.07091666666666,30.656460000000003,104.0680116495438,30.657324150075624,,,38.068738532882925
3,32,5,2018-10-09 07:48:38.000000000,c,4219,218,447,104.07091333333334,30.65603,104.06795325002695,30.656971250027446,,,8.749305171578031
3,33,0,2018-10-09 07:48:43.000000000,s,2716,447,446,104.07091,30.6556,104.069601,30.656017599999995,,124.75,181.3788410561702
4,1,0,2018-10-09 10:43:40.000000000,s,866,829,830,104.06086,30.65444,104.0601001,30.655567900000005,162.6168969847905,35.29,0.0
4,2,0,2018-10-09 10:44:10.000000000,s,2854,830,816,104.06087,30.657839999999997,104.0605598,30.656944299999996,986.0190205650156,359.59,64.48097943498442
4,2,1,2018-10-09 10:44:13.000000000,c,2856,816,821,104.060853,30.658186999999998,104.05948044953485,30.656913604475506,,,103.47467064035558
4,2,2,2018-10-09 10:44:16.000000000,c,856,821,223,104.060836,30.658534,,,,,
4,2,3,2018-10-09 10:44:19.000000000,c,857,223,823,104.060819,30.658881,,,,,
4,2,4,2018-10-09 10:44:22.000000000,c,860,823,825,104.060802,30.659228000000002,,,,,
4,2,5,2018-10-09 10:44:25.000000000,c,2634,825,826,104.060785,30.659575000000004,,,,,
4,2,6,2018-10-09 10:44:28.000000000,c,863,826,827,104.060768,30.659922000000005,,,,,
4,2,7,2018-10-09 10:44:31.000000000,c,2613,827,1810,104.060751,30.660269000000007,104.05864269997011,30.66237000042454,,,31.84320412000411
4,2,8,2018-10-09 10:44:34.000000000,c,6047,1810,1267,104.060734,30.660616000000008,104.05906734999766,30.662376800032774,,,8.8496478692808
4,2,9,2018-10-09 10:44:37.000000000,c,6043,1267,326,104.060717,30.66096300000001,104.05962779994076,30.662385750842436,,,44.856417358583194
4,3,0,2018-10-09 10:44:40.000000000,s,1575,326,323,104.0607,30.66131000000001,104.0600959,30.662393199999993,164.18909124310443,358.64,0.0
4,4,0,2018-10-09 10:45:10.000000000,s,1575,326,323,104.06062,30.663890000000002,104.06004074557575,30.663873876588156,175.64673553282688,358.64,164.18909124310443
4,5,0,2018-10-09 10:45:40.000000000,s,1575,326,323,104.06054,30.665470000000003,104.05999267494568,30.665458149722422,440.2466078936683,358.64,339.8358267759313
4,5,1,2018-10-09 10:45:47.500000000,c,260,323,324,104.060495,30.66657,104.05994110041108,30.6668489500653,,,93.48715897828973
4,5,2,2018-10-09 10:45:55.000000000,c,266,324,330,104.06045,30.66767,104.05990105000447,30.667771500000622,,,8.831947377729122
4,5,3,2018-10-09 10:46:02.500000000,c,4959,330,328,104.060405,30.66877,104.05984434393042,30.668593934387395,,,82.48403667177992
4,6,0,2018-10-09 10:46:10.000000000,s,5151,328,327,104.06036,30.669869999999996,104.059781,30.6694255,0.0,358.26,9.882434669599533
4,7,0,2018-10-09 10:46:40.000000000,s,5151,328,327,104.06034,30.670650000000002,104.059781,30.6694255,0.0,358.26,9.882434669599533
4,8,0,2018-10-09 10:47:10.000000000,s,5151,328,327,104.06037,30.670670000000005,104.059781,30.6694255,0.0,358.26,9.882434669599533
4,9,0,2018-10-09 10:47:40.000000000,s,5151,328,327,104.06037,30.670670000000005,104.059781,30.6694255,0.0,358.26,9.882434669599533
4,10,0,2018-10-09 10:48:10.000000000,s,5151,328,327,104.06036,30.67094,104.059781,30.6694255,442.09645541001146,358.26,9.882434669599533
4,10,1,2018-10-09 10:48:17.500000000,c,264,327,329,104.0602125,30.671185000000005,104.05892941216854,30.669387580187486,,,81.82110107471442
4,10,2,2018-10-09 10:48:25.000000000,c,2701,329,1684,104.06006500000001,30.671430000000008,104.05805385023194,30.670072700043335,,,78.5848707593987
4,10,3,2018-10-09 10:48:32.500000000,c,2665,1684,1832,104.0599175,30.671675000000008,104.05800218114344,30.67106263824137,,,31.339659094645974
4,11,0,2018-10-09 10:48:40.000000000,s,2710,1832,1683,104.05977,30.67192000000001,104.0579266963941,30.671867868236337,130.32142986724847,359.99,58.578890079611035
4,12,0,2018-10-09 10:49:10.000000000,s,2640,1683,1680,104.05852,30.672470000000004,104.0578822,30.673043100000008,125.5,358.57,0.0
4,12,1,2018-10-09 10:49:20.000000000,c,2823,1680,1652,104.05808,30.672676666666668,104.0578463500004,30.674027400000227,,,6.084605815283568
4,12,2,2018-10-09 10:49:30.000000000,c,2654,1652,1827,104.05763999999999,30.672883333333328,104.05779970001083,30.67410515000866,,,5.140854409413339
4,13,0,2018-10-09 10:49:40.000000000,s,2730,1827,148,104.0572,30.67308999999999,104.057753,30.674127999999993,373.02298369509424,297.83,0.0
4,13,1,2018-10-09 10:49:55.000000000,c,2606,148,1808,104.055465,30.673909999999996,104.0553849500099,30.675185100009273,,,5.153131281436455
4,14,0,2018-10-09 10:50:10.000000000,s,2699,1808,603,104.05373,30.67473,104.05429307926211,30.675671523810824,197.13995778126957,297.82,112.52298369509423
4,15,0,2018-10-09 10:50:40.000000000,s,2699,1808,603,104.05199,30.675749999999994,104.05248363958994,30.67651841094148,0.0,297.82,309.6629414763638
4,16,0,2018-10-09 10:51:13.000000000,s,2699,1808,603,104.05199,30.675749999999994,104.05248363958994,30.67651841094148,0.0,297.82,309.6629414763638
4,17,0,2018-10-09 10:51:43.000000000,s,2699,1808,603,104.05199,30.675749999999994,104.05248363958994,30.67651841094148,54.367311274604845,297.82,309.6629414763638
4,18,0,2018-10-09 10:52:13.000000000,s,2699,1808,603,104.05154,30.676059999999993,104.05198747006669,30.676756547411518,291.5899816893695,297.82,364.03025275096866
4,19,0,2018-10-09 10:52:43.000000000,s,2658,603,1829,104.04902,30.677719999999997,104.04945013266953,30.678201921971258,325.8599199529581,302.72,228.0406374069126
4,19,1,2018-10-09 10:52:58.000000000,c,4948,1829,1838,104.04778999999999,30.678764999999995,104.04891525000959,30.67855865000529,,,4.494474932438279
4,20,0,2018-10-09 10:53:13.000000000,s,2683,1838,1401,104.04656,30.679809999999993,104.04679969933633,30.680043733893932,280.88665937500366,309.37,256.60055735987066
4,21,0,2018-10-09 10:53:43.000000000,s,2683,1838,1401,104.04481,30.68189,104.04467471593534,30.681786160119593,195.78413946817312,316.78,537.4872167348743
4,21,1,2018-10-09 10:53:58.000000000,c,1826,1401,150,104.04424499999999,30.68262,104.04398930102444,30.682472350397234,,,46.211306968441605
4,22,0,2018-10-09 10:54:13.000000000,s,121,150,151,104.04368,30.68335,104.04336864109784,30.683143926097678,240.90440483816292,323.04,49.0713562030474
4,22,1,2018-10-09 10:54:19.000000000,c,4280,151,282,104.043398,30.683744,104.0428612639072,30.68374136091832,,,67.40294398826902
4,22,2,2018-10-09 10:54:25.000000000,c,227,282,283,104.043116,30.684137999999997,104.04239895007032,30.684346150018644,,,13.009811410039049
4,22,3,2018-10-09 10:54:31.000000000,c,2705,283,1846,104.042834,30.684531999999997,104.04227909995168,30.684361850011012,,,10.993775077131824
4,22,4,2018-10-09 10:54:37.000000000,c,2727,1846,1811,104.042552,30.684925999999994,104.0423014500722,30.684184250024924,,,12.433965262201506
